work_year,experience_level,employment_type,job_title,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,salary
2021,MI,FT,Data Scientist,CLP,40038,CL,100,CL,L,30400000
2021,MI,FT,BI Data Analyst,HUF,36259,HU,50,US,L,11000000
2020,MI,FT,Data Scientist,HUF,35735,HU,50,HU,L,11000000
2021,MI,FT,ML Engineer,JPY,77364,JP,50,JP,S,8500000
2022,SE,FT,Lead Machine Learning Engineer,INR,95386,IN,50,IN,L,7500000
2021,MI,FT,ML Engineer,JPY,63711,JP,50,JP,S,7000000
2021,SE,FT,Data Science Manager,INR,94665,IN,50,IN,L,7000000
2022,EN,FT,Data Scientist,HUF,17684,HU,100,HU,M,6600000
2022,EX,FT,Head of Machine Learning,INR,76309,IN,50,IN,L,6000000
2022,EN,FT,Research Engineer,JPY,41809,JP,50,JP,L,5500000
2023,MI,FT,Head of Data Science,INR,60805,IN,50,IN,L,5000000
2023,EN,FT,AI Programmer,INR,60207,IN,0,IN,S,4950806
2021,SE,FT,Machine Learning Engineer,INR,66265,IN,0,IN,L,4900000
2022,SE,FT,Lead Data Scientist,INR,56723,IN,0,IN,L,4460000
2020,EN,FT,Data Engineer,JPY,41689,JP,100,JP,S,4450000
2022,MI,FT,Data Scientist,INR,53416,IN,100,ID,L,4200000
2023,EN,FT,Applied Machine Learning Scientist,INR,48644,IN,100,DE,L,4000000
2021,SE,FT,Data Scientist,INR,54094,IN,100,IN,L,4000000
2021,SE,FT,Data Science Manager,INR,54094,IN,50,US,L,4000000
2023,SE,FT,Data Science Manager,INR,43779,IN,100,IN,L,3600000
2024,MI,FT,Lead Data Analyst,INR,39615,IN,50,IN,L,3300000
2023,MI,FT,Data Science Manager,INR,38915,IN,50,IN,L,3200000
2023,MI,FT,Data Analytics Manager,INR,38915,IN,50,IN,M,3200000
2023,SE,FT,Data Integration Specialist,INR,36483,IN,50,IN,L,3000000
2022,SE,FT,Principal Data Architect,INR,38154,IN,100,IN,L,3000000
2021,SE,FT,Lead Data Scientist,INR,40570,IN,50,IN,L,3000000
2020,MI,FT,Data Scientist,INR,40481,IN,0,IN,L,3000000
2022,MI,FT,Data Engineer,INR,35610,IN,50,IN,L,2800000
2023,MI,FT,NLP Engineer,INR,32834,IN,100,IN,M,2700000
2022,MI,FT,Data Scientist,INR,31795,IN,100,US,M,2500000
2021,MI,FT,Data Scientist,INR,33808,IN,0,IN,M,2500000
2022,MI,FL,Applied Machine Learning Scientist,INR,30523,IN,100,IN,S,2400000
2022,MI,FT,Data Scientist,INR,30523,IN,100,IN,L,2400000
2024,MI,FT,Big Data Engineer,INR,27611,IN,100,IN,L,2300000
2021,EN,FT,Data Engineer,INR,30428,IN,100,IN,L,2250000
2021,EN,FT,Data Scientist,INR,29751,IN,50,IN,L,2200000
2021,EN,FT,Data Scientist,INR,28399,IN,100,IN,M,2100000
2023,EN,FT,AI Research Engineer,INR,24322,IN,100,CH,L,2000000
2023,MI,FT,Machine Learning Software Engineer,INR,24322,IN,50,IN,L,2000000
2022,EN,FT,Data Scientist,INR,22892,IN,50,IN,M,1800000
2021,SE,FT,Machine Learning Engineer,INR,24342,IN,100,IN,L,1799997
2023,EN,FT,Data Analyst,INR,20673,IN,50,IN,L,1700000
2023,MI,FT,Applied Data Scientist,INR,20673,IN,100,IN,L,1700000
2021,MI,FT,Big Data Engineer,INR,22611,IN,0,IN,L,1672000
2022,MI,FT,Machine Learning Engineer,INR,20984,IN,50,IN,L,1650000
2021,EN,FT,Data Engineer,INR,21637,IN,50,IN,M,1600000
2023,SE,FT,AI Scientist,ILS,417937,IL,0,IL,L,1500000
2023,MI,FT,Lead Data Analyst,INR,18241,IN,50,IN,L,1500000
2021,MI,FT,Lead Data Analyst,INR,19609,IN,100,IN,L,1450000
2023,MI,FT,Data Analytics Lead,INR,17511,IN,50,SG,M,1440000
2022,MI,FT,Business Data Analyst,INR,18314,IN,50,IN,L,1440000
2023,EN,FT,Data Engineer,INR,17025,IN,100,IN,L,1400000
2023,MI,FT,Data Scientist,INR,17025,IN,100,IN,L,1400000
2022,MI,FT,Business Data Analyst,INR,17805,IN,100,IN,M,1400000
2022,EN,FT,Data Scientist,INR,17805,IN,100,IN,M,1400000
2023,MI,FT,Product Data Analyst,INR,16417,IN,100,IN,L,1350000
2021,EN,FT,AI Scientist,INR,18053,IN,100,AS,S,1335000
2023,SE,FT,Data Analyst,INR,15809,IN,100,IN,S,1300000
